utt_id,text,context,speaker,show,label,split
1_S12E06_229,Really? We're still doing this?,"So, here we are. On Halloween. On this couch. Does it ring any bells?",PENNY,BBT,0,train
3_S04E02_217,"No, I think you should use more.",Do you think I have too much product in my hair?,GILFOYLE,SV,1,train
1_11242,"I love that you take pride in your looks, even when I have to pee in the morning, and you're in there spending an hour on your hair.","I was not panicked, and I am not overly attached to Leonard. You were so worried that you smashed your face trying to check on me.
You love me. Yeah. Tell me those aren't the words of a man with a spider eating its way through his brain. Amy, you're a neuroscientist.
Crack his skull open, spray some Raid in there.",BERNADETTE,BBT,1,train
1_S10E04_177,"Oh, excited, concerned, a little scared. All the same emotions","you and I are gonna be sharing a bed. You know, this is uncharted territory for both of us. How are you feeling about that?",SHELDON,BBT,0,train
2_319,No.,"Okay, I can't imagine, I can't imagine my life without you. Without, without these arms, and your face, and this heart. Your good heart Rach, and, and....",RACHEL,FRIENDS,0,train
1_4552,"...so anyway, to make a long story short, turns out I have an unusually firm cervix.","And here's where we are. The runts in a large litter.
unlikely to ever reach the nourishing teats of Indiana Jones. So I guess it's a good thing we stopped for dinner. You know, guys, when facing disappointment, Eat, Pray, Love  teaches us Oh, shut up.",AMY,BBT,0,train
1_2778,"Ooh, big talk from a man who was once treed by a chicken.","Don't push me, Sheldon.
I may be small, but I took kung fu when I was 13, and I remember a good deal of it. Oh, really? Well, I grew up with an older brother and a very contentious twin sister. And I believe I could easily best you in any physical confrontation-- be it noogies, swirlies or the classic ""Why are you hitting yourself?""",RAJ,BBT,1,train
1_3419,"Oh, we don't need to talk about that anymore. Leonard covered it pretty well in the car.","So, what should we talk about? Well, we could always learn more about why people who believe in psychics are idiots. Leonard?",PENNY,BBT,1,train
1_S11E03_067,I'm not setting her up with Raj.,"Hey, just a reminder-- I'm going out for drinks after work. Oh. Great. Just a reminder-- you're pregnant. I'm not drinking, just taking a new coworker out. Oh. Just a reminder-- you're married. Female coworker. She's new in town, and I want to make her feel welcome. And let her know the office is full of liars before everyone tells her I'm mean. Is she single?",BERNADETTE,BBT,0,train
1_S10E02_372,Would you stop? We're just gonna be on the other side of campus.,"So I guess I won't be seeing you guys for a while. Oh, looks like it. Wow. You're going off to work with the military, leaving me behind. Now I know how all those army wives feel.",HOWARD,BBT,0,train
1_5580,"Right, right, whereas Jewish mothers take a casual, la-di-da approach to their sons.","I was thinking of weaving it into her eulogy. Howard, you've got to tell your mother. Hey, have you told your parents you're dating this short glass of skim milk here? Uh... that's different.
First of all, we're not engaged; and second, Indian parents are very protective of their children.",HOWARD,BBT,1,train
2_370,You have to stop the Q-Tip when there is resistance,"My family's been going to him forever. He did my first suit when I was 15. No wait 16. Excuse me, 15 ...  Alright when was 1990?",CHANDLER,FRIENDS,1,train
2_555,Hey! It's starting to snow.,No! You let go! How come it's always us left in the field holding the ball? I don't know. I guess the other people just don't care enough.,ROSS,FRIENDS,0,train
3_S04E05_485,Your fourth child?,"Laurie? Look. I know you've been unhappy with me lately. Correct. Look. I'm asking you to trust me on something. Ed Chen has been making moves behind your back with the other partners to try and force you out of Raviga. You are referring to the baby shower ruse. You knew about that? Monica, this is my fourth child. I am no stranger to these types of machinations. However, I have countervailed it with my--",OTHER,SV,0,train
2_560,So now I have to go so he'll think that I'm totally ok with seeing him!,"And she was like ""Oh, don't worry! I asked him. He's totally ok with seeing you!"".",PHOEBE,FRIENDS,1,train
1_S10E13_095,"I've been seeing him for years, I'm still not convinced he's real.","Things going well with you and Sheldon living together? Better than ever. He asks about my day, takes an interest in my life. He's like my boyfriend in college, except he's real, so people can see him.",BERNADETTE,BBT,1,train
1_10859,I don't need a reason-- it's my house.,"It's true-- you're both gorgeous. Kind of says something about the man who could bed you both. You get why I've been alone most of my adult life. So, what brings you by? Well,",HOWARD,BBT,0,train
2_378,"No Blanche, with a venus fly trap","Morning everybody, Rose honey I hope you don't mind, I borrowed your golf club, I have a date to play this morning. With a man?",DOROTHY,GOLDENGIRLS,1,train
1_S09E20_354,"No, I do, and that's why I hid it.","Well, how much you got in there? $6,427.00 $47 once my nana's birthday check gets here. My god, leonard, do you know What I could do with that kind of money?",LEONARD,BBT,1,train
1_7504,"""To Stuart, your comic book store is out of this world. Just like the guy in this picture was.""","Oh, hey, Stuart, I got you a little souvenir from my trip to space. Well, Howard, that's very nice of you. Yeah, maybe. Open it first. It's my official NASA portrait.",PERSON,BBT,0,train
1_S12E01_150,You want to say it? You can say it.,"Man, that is one hot weather girl. How come if I say that I get in trouble?",BERNADETTE,BBT,0,train
1_5953,Here's some other fun news on the Raj/Emily front. He gave her a pair of diamond earrings and leased her a car.,"because you no longer wear underpants. The dice giveth and the dice taketh away. Is Raj out with Emily again? Yeah, every night for the last month. Wow, can't believe he has a girlfriend. Me neither.",HOWARD,BBT,0,train
2_622,"Pheebs, you may know this, you know strange things. What is the boiling point of brain?","Maybe I should get another pair. Oh, you know they had some with uh, with  fringe all down the sides.",CHANDLER,FRIENDS,1,train
1_S10E04_043,I don't know. What if living together kills the romance?,"Cohabitation with my girlfriend? That's a great deal to process. Mm. It's only for five weeks. Yeah, and we'll be right across the hall. What do you think?",SHELDON,BBT,0,train
1_8052,Like Burt and Ernie. You guys even teach me stuff about words and numbers.,"I swear, that man is the most egotistical, insufferable human being I have ever met. Yeah, but you two make such a cute couple.",PENNY,BBT,1,train
2_286,"And sometimes I would want you to steal third, and I'll go like this.","And sometimes I may be away longer, like this. But I'll still always come back, like this.",CHANDLER,FRIENDS,1,train
1_S10E04_021,"And we live with Sheldon, so the word ""inconvenience"" has really lost all meaning.","Well, if you need a place to crash, you can stay with us. Really? Of course. You can stay in Leonard's room, and we'll stay at my place. You're sure that's not an inconvenience? No, not at all.",LEONARD,BBT,0,train
2_56,"Uh-huh, well! But umm, still I'm-I'm mad at you.","I knew it, wow!! Wait-wait-wait, wait! Puppies. Cute or ugly? Ohh, so cute.",PHOEBE,FRIENDS,0,train
1_S09E13_024,Glad to hear it.,"I am happy to report I'm feeling much better. Good for you. My fever is gone, my sinuses are pressure-free, and my mucus is as clear as a Yosemite waterfall.",HOWARD,BBT,1,train
1_1470,I don't know. It just died. I'm getting a bunch of static.,"Hey, guys, I need to use your TV. What's wrong with your TV?",PENNY,BBT,0,train
1_S10E01_474,Is he? I never noticed.,"Your friends are just lovely. Oh, thanks, Mom. Although that Sheldon is a bit peculiar.",PENNY,BBT,1,train
3_S02E03_218,Do you want me to be honest or nice?,"Guys, if I list you as references, can I count on you to say nice things about me? Be honest.",GILFOYLE,SV,1,train
1_6039,I don't know what I'm going to do. I don't want to break up over this.,"He can't go to space. He's like a baby bird. Do you know he once got an asthma attack from reading an old library book? You're kidding. No, I was there that day. Sheldon threw his back out handing him that book.",BERNADETTE,BBT,0,train
2_163,"Oh boy, I just can't watch. It's too scary!","Oh umm, my big scene is coming up. Big scene coming up. If you said, ""Big lima bean, bubbling up."" Would she understand the difference? Rach? What are you doing?",RACHEL,FRIENDS,1,train
1_S11E07_381,Bert asked for my help.,"What do you want, Sheldon? I would like us to work together again. I promise to keep my geology comments to myself, because while some of them are funny, all of them are mean. Well, this is awkward. Leonard, what are you doing here?",LEONARD,BBT,0,train
3_S04E05_320,That was the Iranian Revolutionary Guard.,"I am so fucked. This girl is gonna kill me or get me killed. Do tell. So, she's super attractive, and she's super smart, and she's way into me, like way more than a normal person should be. And sex! There's so much sex! The problem is the part after. When you have to apologize. No. When we do pillow talk. Oh. That's the best part. Everything before that is just foreplay. Not with her. She'll tell me how cute I am, and how into me she is, and how she hacked into Bowman Avenue dam.",GILFOYLE,SV,0,train
2_471,Amazing.,Hello everybody! How was your week?,MEMBER-GIRL,SARCASMOHOLICS,1,train
1_S12E05_083,And it's gone.,"You okay? You seem distracted. I'm-I'm just thinking about Raj. I'm thinking about Chris Hemsworth. Let's go. He sort of hurt my feelings. (QUIETLY): Biceps, hammer, abs. Still in it. Why wouldn't he want me to be in his planetarium show?",BERNADETTE,BBT,0,train
1_4352,He does it all the time. He's a cornucopia of social awkwardness.,"Right. That's not true of all bars. Juice bars, for example. Oh! Good point, Amy.
Yeah, building on your premise, Leonard could frequent sushi bars, salad bars, oyster bars, the Apple Genius Bar... What are you doing? Keep going. I'm listening. That was rude.",SHELDON,BBT,0,train
1_S09E20_029,You may need this more than I do.,"Why are you pretending to be outdoors? You hate it. Hmm? Oh. Amy showed me a compelling study That demonstrated the cognitive benefit Of spending time in the wilderness. Buddy, I am ready to drive you Into the wilderness any time you want and leave you there. Well, make your jokes, but some of the participants Who spent four days in the woods away from all technology Reported a 50% gain in reasoning skills upon their return. Okay, if that's true, why aren't there more genius squirrels?",SHELDON,BBT,1,train
1_S12E03_095,He sent us that Indian marriage questionnaire.,"Wow, you really are good at this. Well, I'’ve spent a lot of time painting D&Dminiatures. I know that makes you want to rip my shirt off, but wait until your nails are dry. [PHONE CHIMES] Oh, it'’s Raj.",LEONARD,BBT,0,train
3_S01E04_342,"For which I forewent, yes, that's a real word, one million dollars.","I owned 10% of Dinesh's app, 10% of Gilfoyle's app. Multiple potential streams of income. Not to mention that 100% of the team that you have, were all guys that I recruited for this house. - That must be worth something to me. - It is. 10% of Pied Piper!",ERLICH,SV,0,train
